page-links,page-links-href,title,authors,conference,link
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,L1 and L2 Regularization for Multiclass Hinge Loss Models,"Robert C. Moore, John DeNero",Symposium on Machine Learning in Speech and Natural Language Processing (2011),/pubs/archive/37362.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Advertising and Traffic: Learning from online video data,Dan Zigmond,"Audience Measurement 6.0, New York, NY (2011)",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Sensemaking,"Daniel M Russell, George Furnas, Mark Stefik, Stuart K. Card, Peter Pirolli","CHI extended abstracts on Human Factors in Computing Systems, ACM, Florence (2008), pp. 3981-3984",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Wide-Coverage Deep Statistical Parsing using Automatic Dependency Structure Annotation,"Aoife Cahill, Ruth O'Donovan, Josef van Genabith, Michael Burke, Stefan Riezler, Andy Way","Computational Linguistics, vol. 34 (1) (2008), pp. 81-124",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Distributed forensics and incident response in the enterprise,"Michael Cohen, Darren Bilby, Germano Caronni","Journal of Digital Investigation, vol. 8 (2011), S101-S110",/pubs/archive/37237.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,GestKeyboard: Enabling Gesture-Based Interaction on Ordinary Physical Keyboard,"Haimo Zhang, Yang Li",CHI 2014: ACM Conference on Human Factors in Computing Systems,
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Haptic Voice Recognition Grand Challenge,"K. Sim, S. Zhao, K. Yu, H. Liao",14th ACM International Conference on Multimodal Interaction. (2012),/pubs/archive/40604.pdf
Networking,http://research.google.com/pubs/Networking.html,Competitive Routing over Time,"Martin Hoefer, Vahab S. Mirrokni, Heiko Roglin, Shang-Hua Teng","Workshop of Internet Economics (WINE) (2009), pp. 18-29",
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Information arbitrage across multi-lingual Wikipedia,"Eytan Adar, Michael Skinner, Daniel S. Weld","WSDM '09: Proceedings of the Second ACM International Conference on Web Search and Data Mining, ACM, New York, NY, USA (2009), pp. 94-103",
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Pruning Sparse Non-negative Matrix N-gram Language Models,"Joris Pelemans, Noam M. Shazeer, Ciprian Chelba","Proceedings of Interspeech 2015, ISCA (to appear)",/pubs/archive/43830.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Prefetch optimizations on large-scale applications via parameter value prediction,"Shih-wei Liao, Tzu-Han Hung, Donald Nguyen, Hucheng Zhou, Chinyen Chou, Chiaheng Tu","ICS (2009), pp. 519-520",
General Science,http://research.google.com/pubs/GeneralScience.html,Advisory on Internal Name Certificates,"Warren Kumari, Steve Crocker, Patrik Faltstrom, Ondrej Filip, James Galvin, Danny McPherson, Ram Mohan, Doron Shikmoni","ICANN SSAC Reports and Advisories, ICANN (Internet Corporation for Assigned Names and Numbers) (2013)",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Bilingually-Constrained (Monolingual) Shift-Reduce Parsing,"Liang Huang, Wenbin Jiang, Qun Liu","Proceedings of EMNLP (2009), pp. 1222-1231",/pubs/archive/35372.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Can Traditional Programming Bridge the Ninja Performance Gap for Parallel Computing Applications?,"Nadathur Satish, Changkyu Kim, Jatin Chhugani, Hideki Saito, Rakesh Krishnaiyer, Mikhail Smelyanskiy, Milind Girkar, Pradeep Dubey","Communications of the ACM, vol. 58 (2015), pp. 77-86",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Sample Selection Bias Correction Theory,"Corinna Cortes, Mehryar Mohri, Michael Riley, Afshin Rostamizadeh","Proceedings of The 19th International Conference on Algorithmic Learning Theory (ALT 2008), Springer, Heidelberg, Germany, Budapest, Hungary",/pubs/archive/34675.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Biperpedia: An Ontology for Search Applications,"Rahul Gupta, Alon Halevy, Xuezhi Wang, Steven Whang, Fei Wu",Proc. 40th Int'l Conf. on Very Large Data Bases (PVLDB) (2014),/pubs/archive/41894.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,A new quality measure for topic segmentation of text and speech,"Mehryar Mohri, Pedro J. Moreno, Eugene Weinstein",Conference of the International Speech Communication Association (Interspeech) (2009),/pubs/archive/37203.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Weakly-Supervised Discovery of Named Entities Using Web Search Queries,Marius Pasca,"Proceedings of the 16th ACM Conference on Information and Knowledge Management (CIKM-2007), Lisboa, Portugal, pp. 683-690",/pubs/archive/33373.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,On inter-deriving small-step and big-step semantics: A case study for storeless call-by-need evaluation,"Olivier Danvy, Kevin Millikin, Johan Munk, Ian Zerny","Theoretical Computer Science, vol. 435 (2012), pp. 21-42",/pubs/archive/40357.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,Diff-Index: Differentiated Index in Distributed Log-Structured Data Stores,"Wei Tan, Sandeep Tata, Yuzhe Tang, Liana Fong",EDBT (2014) (to appear),
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,A Game-Theoretic Analysis of Rank-Order Mechanisms for User-Generated Content,"Arpita Ghosh, Patrick Hummel","Journal of Economic Theory, vol. 154 (2014), pp. 349-374",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Scalable Dynamic Nonparametric Bayesian Models of Content and Users,"Amr Ahmed, Eric P. Xing",International Joint Conference on Artificial Intelligence (IJCAI - Best paper track) (2013) (to appear),/pubs/archive/41132.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Why Silent Updates Boost Security,"Thomas Duebendorfer, Stefan Frei","ETH Zurich (2009), pp. 1-9",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,A New Perspective on an Old Perceptron Algorithm,"S. Shalev-Shwartz, Y. Singer",Proceedings of the Eighteenth Annual Conference on Computational Learning Theory (2005),/pubs/archive/23.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Improved Video Categorization from Text Metadata and User Comments,"Katja Filippova, Keith B. Hall","Proceedings of the 34th international ACM SIGIR conference on Research and development in Information (SIGIR-2011), Beijing, China, pp. 835-842",/pubs/archive/37092.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Do Viewers Care? Understanding the impact of ad creatives on TV viewing behavior,"Yannet Interian, Kaustuv, Igor Naverniouk, P. J. Opalinski, Sundar Dorai-raj, Dan Zigmond",Re:Think 2009,/pubs/archive/35167.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,ACDC-JS: explorative benchmarking of javascript memory management,"Martin Aigner, Thomas Huetter, Christoph M. Kirsch, Alexander Miller, Hannes Payer, Mario Preishuber","Proceedings of the 10th ACM Symposium on Dynamic Languages, ACM, New York, NY, USA (2014), pp. 67-78",/pubs/archive/43216.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Random classification noise defeats all convex potential boosters,"Philip M. Long, Rocco A. Servedio","Machine Learning, vol. 78 (2010), pp. 287-304",/pubs/archive/34314.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Speech and Natural Language: Where Are We Now And Where Are We Headed?,Ciprian Chelba,"Mobile Voice Conference, San Francisco (2013)",/pubs/archive/41117.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Discriminative Keyword Spotting,"Joseph Keshet, David Grangier, Samy Bengio","Speech Communication (2009), pp. 317-329",/pubs/archive/34844.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Deep Neural Networks for Object Detection,"Christian Szegedy, Alexander Toshev, Dumitru Erhan",Advances in Neural Information Processing Systems (2013),/pubs/archive/41457.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Regret Minimization with Concept Drift,"Koby Crammer, Eyal Even-Dar, Yishay Mansour, Jennifer Wortman Vaughan",Proceedings of the 23rd Annual Conference on Learning Theory (COLT) (2010),/pubs/archive/36486.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Where's Waldo: Matching People in Images of Crowds,"Rahul Garg, Deva Ramanan, Steven M. Seitz, Noah Snavely","Proc. IEEE Conf. on Computer Vision and Pattern Recognition (2011), pp. 1793-1800",
Machine Translation,http://research.google.com/pubs/MachineTranslation.html,Binarized Forest to String Translation,"Hao Zhang, Licheng Fang, Peng Xu, Xiaoyun Wu","ACL (2011), pp. 835-845",/pubs/archive/37011.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Organizing and Searching the World Wide Web of Facts - Step Two: Harnessing the Wisdom of the Crowds,Marius Pasca,"Proceedings of the 16th International World Wide Web Conference (WWW-07) (2007), pp. 101-110",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Incorporating Eyetracking into User Studies at Google,"Laura A. Granka, Kerry Rodden",Proceedings of ACM CHI 2006 workshop on Getting a Measure of Satisfaction from Eyetracking in Practice,/pubs/archive/34377.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Multiple-Signal Duplicate Detection for Search Evaluation,"Scott Huffman, April Lehman, Alexei Stolboushkin, Howard Wong-Toi, Fan Yang, Hein Roehrig","Proceedings of 30th Annual International ACM SIGIR Conference, ACM (2007), pp. 223-230",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Designing for children's mobile storytelling,"Sonia Franckel, Elizabeth Bonsignore, Allison Druin","The International Journal of Mobile Human-Computer Interaction, vol. Special Issue: Mobile Interaction Design and Children (2010), pp. 19-36",
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Eventually consistent: Not what you were expecting?,"Wojciech Golab, Muntasir R. Rahman, Alvin AuYoung, Kimberly Keeton, Xiaozhou (Steve) Li","Communications of the ACM, vol. 57, no. 3 (2014), pp. 38-44",
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,An Adaptable Rule Placement for Software Defined Networks,"Shuyuan Zhang, Franjo Ivancic, Cristian Lumezanu, Yifei Yuan, Aarti Gupta, Sharad Malik","DSN, IEEE (2014)",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,3DNN: Viewpoint Invariant 3D Geometry Matching for Scene Understanding,"Scott Satkin, Martial Hebert",Proceedings of the International Conference on Computer Vision (ICCV) (2013) (to appear),/pubs/archive/41643.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections,"Dipanjan Das, Slav Petrov","Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics (ACL '11) (2011), Best Paper Award",/pubs/archive/37071.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Online Graph Edge-Coloring in the Random-Order Arrival Model,"Bahman Bahmani, Aranyak Mehta, Rajeev Motwani","Theory of Computing, vol. 8(1) (2012), pp. 567-595",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Gipfeli - High Speed Compression Algorithm,"Rastislav Lenhardt, Jyrki Alakuijala","DCC (2012), pp. 109-118",/pubs/archive/42050.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Bridging Text and Knowledge with Frames,Srini Narayanan,ACL Workshop on Frame Semantics (in honor of Charles FIllmore) (2014),/pubs/archive/43016.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,The impact of result abstracts on task completion time.,"Rehan Khan, David Mease, Rajan Patel",WWW 2009 Proceedings,
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Obfuscatory obscanturism: making workload traces of commercially-sensitive systems safe to release,"Charles Reiss, John Wilkes, Joseph L. Hellerstein","CloudMAN, IEEE, Maui, HI, USA (2012)",/pubs/archive/41686.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,An Empirical Study into the Security Exposure to Hosts of Hostile Virtualized Environments,Tavis Ormandy,CanSecWest 2007,
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Translating Queries into Snippets for Improved Query Expansion,"Stefan Riezler, Yi Liu, Alexander Vasserman","Proceedings of the 22nd International Conference on Computational Linguistics (COLING'08), Manchester, England (2008)",/pubs/archive/34382.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Painting with Triangles,"Mark D. Benjamin, Stephen DiVerdi, Adam Finkelstein","Proceedings of the Workshop on Non-Photorealistic Animation and Rendering, NPAR, ACM, New York, NY, USA (2014), pp. 13-20",/pubs/archive/43466.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Why we're able to Google,Alfred Z. Spector,"Proceeding CRASS '09 Computing Research that Changed the World: Reflections and Perspectives, Computing Research Association, Washington, D.C. (2009)",/pubs/archive/37751.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,A Heterogeneous High Dimensional Approximate Nearest Neighbor Algorithm,Moshe Dubiner,IEEE Transactions on Information Theory (2007) (to appear),/pubs/archive/34640.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Pronunciation Learning for Named-Entities through Crowd-Sourcing,"Attapol Rutherford, Fuchun Peng, Francoise Beaufays",Proceedings of Interspeech (2014),/pubs/archive/43086.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,"SpecTrans: Versatile Material Classification for Interaction with Textureless, Specular and Transparent Surfaces","Munehiko Sato, Shigeo Yoshida, Alex Olwal, Boxin Shi, Atsushi Hiyama, Tomohiro Tanikawa, Michitaka Hirose, Ramesh Raskar","SIGCHI Conference on Human Factors in Computing Systems, ACM (2015), pp. 2191-2200",/pubs/archive/43828.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,"Native Client: A Sandbox for Portable, Untrusted x86 Native Code","Bennet Yee, David Sehr, Greg Dardyk, Brad Chen, Robert Muth, Tavis Ormandy, Shiki Okasaka, Neha Narula, Nicholas Fullagar","IEEE Symposium on Security and Privacy (Oakland'09), IEEE, IEEE, 3 Park Avenue, 17th Floor, New York, NY 10016 (2009)",/pubs/archive/34913.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,"Theories, methods and case studies of longitudinal HCI research","Evangelos Karapanos, Jhilmil Jain, Marc Hassenzahl","Proceedings of the 2012 ACM annual conference extended abstracts on Human Factors in Computing Systems Extended Abstracts, ACM, New York, NY, USA, pp. 2727-2730",/pubs/archive/38211.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,The Space Complexity of Processing XML Twig Queries over Indexed Documents,"Mirit Shalem, Ziv Bar-Yossef","Proceedings of the 24th International Conference on Data Engineering (ICDE) (2008), pp. 824-832",/pubs/archive/33524.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Robust Symbolic Regression with Affine Arithmetic,"Cassio Pennachin, Moshe Looks, Joao A. de Vasconcelos",Genetic and Evolutionary Computation COnference (GECCO) (2010),/pubs/archive/36294.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Neighborhood Preserving Codes for Assigning Point Labels: Applications to Stochastic Search,"Shumeet Baluja, Michele Covell","Procedia Computer Science: 2013 International Conference on Computational Science, Elsevier, pp. 956-965",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,C/C++ Thread Safety Analysis,"DeLesley Hutchins, Aaron Ballman, Dean Sutherland","2014 IEEE 14th International Working Conference on Source Code Analysis and Manipulation, IEEE",/pubs/archive/42958.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Typed Normal Form Bisimulation for Parametric Polymorphism,"Soren B. Lassen, Paul Blain Levy","Proceedings of the 23rd Annual IEEE Symposium on Logic in Computer Science (LICS' 08), IEEE (2008), pp. 341-352",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Expecting the Unexpected: Towards Robust Credential Infrastructure,"Shouhuai Xu, Moti Yung","Financial Cryptography and Data Security, Springer-Verlag, Berlin, Heidelberg (2009), pp. 201-221",
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,"Optimal Size, Freshness and Time-frame for Voice Search Vocabulary","Maryam Kamvar, Ciprian Chelba",Google (2012),/pubs/archive/40492.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,SemWebVid - Making Video a First Class Semantic Web Citizen and a First Class Web Bourgeois,Thomas Steiner,International Semantic Web Conference 2010 (ISWC2010),/pubs/archive/36825.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Improved Domain Adaptation for Statistical Machine Translation,"Wei Wang, Klaus Macherey, Wolfgang Macherey, Franz Och, Peng Xu","AMTA-2012, The Association for Machine Translation in the Americas",
Mobile Systems,http://research.google.com/pubs/MobileSystems.html,Bayesian Touch - A Statistic Criterion of Target Selection with Finger Touch,"Xiaojun Bi, Shumin Zhai","Proceedings of UIST 2013 - The ACM Symposium on User Interface Software and Technology, ACM, New York, NY, USA, pp. 51-60",/pubs/archive/41644.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,"Finding Cars, Goddesses and Enzymes: Parametrizable Acquisition of Labeled Instances for Open-Domain Information Extraction","Benjamin Van Durme, Marius Pasca","Proceedings of the 23rd Annual Conference on Artificial Intelligence (AAAI-2008), pp. 1243-1248",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Refractive Height Fields from Single and Multiple Images,"Qi Shan, Sameer Agarwal, Brian Curless","IEEE Conference on Computer Vision and Pattern Recognition, IEEE (2012)",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Submodular secretary problems with extensions,"Mohammadhossein Bateni, MohammadTaghi Hajiaghayi, Morteza Zadimoghaddam","ACM Transactions on Algorithms, vol. 9 (4) (2013)",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,"Compression Progress, Pseudorandomness, & Hyperbolic Discounting",Moshe Looks,"The Third Conference on Artificial General Intelligence, Atlantis Press, http://www.atlantis-press.com (2010), pp. 186-187",/pubs/archive/36293.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Query Language Modeling for Voice Search,"Ciprian Chelba, Johan Schalkwyk, Thorsten Brants, Vida Ha, Boulos Harb, Will Neveitt, Carolina Parada, Peng Xu","Proceedings of the 2010 IEEE Workshop on Spoken Language Technology, IEEE, pp. 127-132",/pubs/archive/36732.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,Data management projects at Google,"Wilson Hsieh, Jayant Madhavan, Rob Pike","SIGMOD Conference (2006), pp. 725-726",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Knapsack auctions,"Gagan Aggarwal, Jason D. Hartline","SODA (2006), pp. 1083-1092",/pubs/archive/17936.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Collaborative Human Computation as a Means of Information Management,"Manas Tungare, Ben Hanrahan, Ricardo Quintana-Castillo, Michael Stewart, Manuel Perez-Quinones",Proceedings of the 2nd International Workshop on Collaborative Information Seeking at CSCW 2010,/pubs/archive/37450.pdf
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Defunctionalized Interpreters for Call-by-Need Evaluation,"Olivier Danvy, Kevin Millikin, Johan Munk, Ian Zerny","Functional and Logic Programming, 10th International Symposium, FLOPS 2010, Springer, pp. 240-256",
General Science,http://research.google.com/pubs/GeneralScience.html,The Data on Diversity: It's not just about being fair,Beryl Nelson,"Communications of the ACM, vol. 57, number 11 (2014), pp. 86-95",/pubs/archive/43135.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,"Redirects to login pages are bad, or are they?",Eric Sachs,"SOUPS '09: Proceedings of the 5th Symposium on Usable Privacy and Security, ACM, New York, NY, USA (2009), pp. 1-1",
Networking,http://research.google.com/pubs/Networking.html,Proportional Rate Reduction for TCP,"Nandita Dukkipati, Matt Mathis, Yuchung Cheng, Monia Ghobadi","Proceedings of the 11th ACM SIGCOMM Conference on Internet Measurement 2011, Berlin, Germany - November 2-4, 2011",/pubs/archive/37486.pdf
